latitude,longitude,location,main_road
43.6545739976846,-79.4598189937303,BLOOR ST W & KEELE ST / PARKSIDE DR,BLOOR ST W
43.787509006058,-79.4699609892263,STEELES AVE W & DUFFERIN ST,STEELES AVE W
43.6281209973391,-79.5594900029658,DUNDAS ST W & THE WEST MALL,DUNDAS ST W
43.7632260008421,-79.2915649999591,ELLESMERE RD & BIRCHMOUNT RD,ELLESMERE RD
43.771928005528,-79.2516109988249,MCCOWAN RD & ELLESMERE RD,MCCOWAN RD
43.7764070076806,-79.2314420031863,MARKHAM RD & ELLESMERE RD,MARKHAM RD
43.6091070005587,-79.5484940050549,BROWNS LINE & EVANS BROWNS LN RAMP,BROWNS LINE
43.6160960061787,-79.5245580058068,KIPLING AVE & EVANS AVE,KIPLING AVE
43.7214200027604,-79.4809789980109,KEELE ST & FLORAL PKWY / 401 C E KEELE ST RAMP,KEELE ST
43.7619370022874,-79.3867279956159,BAYVIEW AVE & 401 C E BAYVIEW RAMP,BAYVIEW AVE
43.7669629980857,-79.3194100080628,VICTORIA PARK AVE & 401 C E VICTORIA PR RAMP,VICTORIA PARK AVE
43.7447330060769,-79.4861479988486,KEELE ST & SHEPPARD AVE W,KEELE ST
43.7266450111262,-79.4817630039992,KEELE ST & WILSON AVE,KEELE ST
43.6653520055123,-79.4646509968386,DUNDAS ST W & KEELE ST,DUNDAS ST W
43.6371379936031,-79.4358309964034,KING ST W & JAMESON AVE,KING ST W
43.6389119994195,-79.4271710096162,KING ST W & DUFFERIN ST,KING ST W
43.6421910016468,-79.4119000078303,KING ST W & STRACHAN AVE,KING ST W
43.6419490057919,-79.4120949972405,KING ST W & STRACHAN AVE,KING ST W
43.6440469982846,-79.402860999446,KING ST W & BATHURST ST,KING ST W
43.6439290054442,-79.4029530009815,KING ST W & BATHURST ST,KING ST W
43.6453609951093,-79.395231003285,SPADINA AVE & KING ST W,SPADINA AVE
43.6453960063821,-79.3947659987253,SPADINA AVE & KING ST W,SPADINA AVE
43.6999420062013,-79.3191310017128,O CONNOR DR & WOODBINE AVE,O CONNOR DR
43.7055150016748,-79.312571000791,O CONNOR DR & ST CLAIR AVE E,O CONNOR DR
43.6405150072128,-79.4373439960441,QUEEN ST W & LANSDOWNE AVE / JAMESON AVE,QUEEN ST W
43.6421420052866,-79.428794998704,QUEEN ST W & DUFFERIN ST,QUEEN ST W
43.6420979991384,-79.4286819972819,QUEEN ST W & DUFFERIN ST,QUEEN ST W
43.6454130088093,-79.4131499993241,QUEEN ST W & STRACHAN AVE,QUEEN ST W
43.647310005401,-79.4041109891262,BATHURST ST & QUEEN ST W,BATHURST ST
43.6488800043283,-79.3961950042573,SPADINA AVE & QUEEN ST W,SPADINA AVE
43.647555002179,-79.3849740014843,UNIVERSITY AVE & KING ST W,UNIVERSITY AVE
43.6475249990991,-79.3848919974713,UNIVERSITY AVE & KING ST W,UNIVERSITY AVE
43.7207070016282,-79.5087459984177,WILSON AVE & JANE ST,WILSON AVE
43.7321970018384,-79.4590859980371,WILSON AVE & DUFFERIN ST,WILSON AVE
43.737227006117,-79.4341489903637,BATHURST ST & WILSON AVE,BATHURST ST
43.7400770008769,-79.421493003537,AVENUE RD & WILSON AVE,AVENUE RD
43.7397290023607,-79.4218310088276,AVENUE RD & WILSON AVE,AVENUE RD
43.7443310020954,-79.4064699922825,YONGE ST & YORK MILLS RD / WILSON AVE,YONGE ST
43.7482450084092,-79.3839669962013,BAYVIEW AVE & YORK MILLS RD,BAYVIEW AVE
43.767875006471,-79.1891560041745,KINGSTON RD & LAWRENCE AVE E,KINGSTON RD
43.794880001778,-79.1527880002371,KINGSTON RD & 401 C E 2A W RAMP,KINGSTON RD
43.7716120023711,-79.3044690067384,WARDEN AVE & 401 C W WARDEN AV RAMP,WARDEN AVE
43.6904950075455,-79.383236003103,MOUNT PLEASANT RD & ST CLAIR AVE E,MOUNT PLEASANT RD
43.7262290020609,-79.3972519941648,MOUNT PLEASANT RD & LAWRENCE AVE E,MOUNT PLEASANT RD
43.6880380004903,-79.3939359940352,YONGE ST & ST CLAIR AVE,YONGE ST
43.7795570031574,-79.415668002497,YONGE ST & FINCH AVE,YONGE ST
43.7978530042256,-79.420168000608,YONGE ST & STEELES AVE,YONGE ST
43.6407730046315,-79.3928419894539,SPADINA AVE & BREMNER BLVD / FORT YORK BLVD,SPADINA AVE
43.6529310032037,-79.3977529964177,SPADINA AVE & DUNDAS ST W,SPADINA AVE
43.6580510041919,-79.3998939953296,SPADINA AVE & COLLEGE ST,SPADINA AVE
